Closure/commit/105	7	5	2025	2023	0	0
Cli/commit/7	2	2	202	202	0	0
Closure/commit/104	1	1	498	498	0	0
Closure/commit/106	4	2	1835	1833	0	0
Cli/commit/2	2	1	310	309	0	0
Closure/commit/101	1	3	483	485	0	0
Cli/commit/3	11	2	264	255	0	0
Closure/commit/100	8	1	183	176	0	0
Cli/commit/4	3	1	417	415	0	0
Closure/commit/103	8	0	1987	1979	0	0
Cli/commit/5	3	0	70	67	0	0
Closure/commit/102	1	1	529	529	0	0
Cli/commit/1	30	30	317	317	0	0
Closure/commit/107	1	0	1000	999	0	0
Closure/commit/109	5	1	2583	2579	0	0
Closure/commit/108	4	1	614	611	0	0
Math/commit/12	4	1	173	170	0	0
Math/commit/11	1	1	240	240	0	0
Math/commit/19	13	0	1381	1368	0	0
Math/commit/20	2	1	1360	1359	0	0
Math/commit/18	6	4	1385	1383	0	0
Math/commit/17	4	0	2506	2502	0	0
Math/commit/16	21	2	3864	3845	0	0
Math/commit/15	2	1	3866	3865	0	0
Math/commit/14	10	4	347	341	0	0
Math/commit/13	9	0	574	565	0	0
Closure/commit/7	5	1	718	714	0	0
Closure/commit/5	3	0	472	469	0	0
Closure/commit/6	0	8	832	840	0	0
Closure/commit/3	8	2	539	533	0	0
Closure/commit/4	2	2	400	400	0	0
Closure/commit/1	3	0	998	995	0	0
Closure/commit/2	4	0	2009	2005	0	0
JacksonDatabind/commit/99	1	0	281	280	0	0
Closure/commit/8	4	0	250	246	0	0
Closure/commit/9	2	1	287	286	0	0
Collections/commit/25	9	3	1505	1499	0	0
Collections/commit/26	1	1	281	281	0	0
JacksonDatabind/commit/96	1	1	2177	2177	0	0
Collections/commit/27	7	0	577	570	0	0
Collections/commit/28	10	0	2451	2441	0	0
JacksonDatabind/commit/98	10	1	495	486	0	0
JacksonDatabind/commit/92	6	0	893	887	0	0
JacksonDatabind/commit/93	2	2	100	100	0	0
JacksonDatabind/commit/94	5	0	117	112	0	0
JacksonDatabind/commit/88	4	0	157	153	0	0
JacksonDatabind/commit/89	6	0	918	912	0	0
JacksonDataBind/commit/91	9	1	596	588	0	0
JacksonDataBind/commit/95	4	4	1574	1574	0	0
