Info,Multi-mappings,Left-side churn,Right-side churn,Challenge level,Comments
Chart1,FALSE,0.0005015045135,0.0005015045135,low,-
Chart10,FALSE,0.01449275362,0.01449275362,low,-
Chart11,FALSE,0.001675041876,0.001675041876,low,-
Chart12,FALSE,0.001615508885,0.001615508885,low,"Variable `dataset` has become the argument of the setter method, Thus its make sense to match the simple names."
Chart13,FALSE,0.001872659176,0.001872659176,low,-
Chart14,FALSE,0.001305483029,0,low,-
Chart15,FALSE,0.001644736842,0,low,-
Chart16,FALSE,0.003740648379,0.003740648379,low,-
Chart17,FALSE,0.001928640309,0.0009652509653,low,-
Chart18,FALSE,0.01058710298,0.002909796314,low,-
Chart19,FALSE,0.001573564123,0,low,-
Chart2,FALSE,0.006422018349,0,low,-
Chart20,FALSE,0.00641025641,0.00641025641,low,-
Chart21,FALSE,0.04779411765,0,low,-
Chart22,FALSE,0.06464646465,0.00643776824,medium,"There is an ExtractVariable refactoring perfmored on variable `index`, as its evident `index` is now passed to R234 instead of the `columnKey`, we decided to map the `columnKey` variables to highlight the refactoring."
Chart23,FALSE,0.03350970018,0,low,-
Chart24,FALSE,0.005780346821,0.005780346821,low,-
Chart25,FALSE,0.02469135802,0.003603603604,medium,Extract Variable `n` refactoring perfomred two times
Chart26,FALSE,0.001455604076,0,low,-
Chart3,FALSE,0.00153609831,0,low,-
Chart4,FALSE,0.000340947835,0,low,-
Chart5,FALSE,0.006784260516,0.00136425648,low,-
Chart6,FALSE,0.04494382022,0.005847953216,low,-
Chart7,FALSE,0.003490401396,0.003490401396,low,-
Chart8,FALSE,0.001545595054,0.001545595054,low,-
Chart9,FALSE,0.0009624639076,0.0009624639076,low,-
Cli1,FALSE,0.09463722397,0.09463722397,medium,"Map -> Set migration, thus imports are matched"
Cli10,FALSE,0.00462962963,0.002320185615,low,
Cli11,FALSE,0.001009081736,0.001009081736,low,
Cli12,FALSE,0.05172413793,0.009009009009,low,
Cli13,FALSE,0.01430615165,0.001449275362,low,
Cli14,FALSE,0.005836575875,0.005836575875,low,(debatable) 262 -> 258
Cli15,FALSE,0.05109489051,0.01886792453,medium,
Cli16,FALSE,0.01266891892,0,low,
Cli17,FALSE,0.003205128205,0,low,
Cli18,FALSE,0.006734006734,0.01666666667,medium,
Cli19,TRUE,0.006734006734,0.006734006734,low,
Cli2,FALSE,0.006451612903,0.003236245955,low,"(debatable) L305 -> R305, its better not to map the `ch` and `token`, one is a method parameter and the other one is a variable and string concatenation with similar structure happend in L289->R289. thus the concatenated string looks to be meaningful in this context. "
Cli20,TRUE,0.0298013245,0.01346801347,high,"If-else logic is replaced with ternary operator and a result L116,L121 both must be mapped with the R123. The newly introduced if-else is different than the previous one and it doesnt make sense to map those. In order to handle the one additional statement in the if branch, they had to add the condition in R124 which despite the similarity with the original condition, is the new logic. We decided not to go for the multimapping for the newly introduced if in R124 due to the simplicity and clearity."
Cli21,FALSE,0.03462321792,0,low,
Cli22,FALSE,0.04710144928,0.03308823529,medium,
Cli23,FALSE,0.006153846154,0.005133470226,low,
Cli24,FALSE,0.001016260163,0.002030456853,low,
Cli25,FALSE,0.001016260163,0.001016260163,low,
Cli26,TRUE,0.0135501355,0.002739726027,low,
Cli27,FALSE,0.01142857143,0.01142857143,low,
Cli28,FALSE,0.00243902439,0.00243902439,low,
Cli29,FALSE,0.02739726027,0.07792207792,low,
Cli3,TRUE,0.04166666667,0.007843137255,medium,"L162 => R165 & R169, Both statement have the criteria to be matched and either of them must be excuted for the same intention."
Cli30,FALSE,0.01429848079,0.003613369467,low,
Cli31,FALSE,0.001904761905,0.001904761905,low,
Cli32,FALSE,0.0009900990099,0.004930966469,low,
Cli33,FALSE,0.01727447217,0.0009756097561,low,
Cli34,FALSE,0.001848428835,0.001848428835,low,
Cli35,FALSE,0.009202453988,0,low,
Cli36,FALSE,0.005940594059,0.00790513834,low,
Cli37,FALSE,0.009971509972,0.001436781609,medium,???
Cli38,FALSE,0.007072135785,0.001422475107,medium,
Cli39,FALSE,0.04580152672,0.003984063745,low,
Cli4,FALSE,0.007194244604,0.002409638554,low,-
Cli40,FALSE,0.003831417625,0.003831417625,low,
Cli5,FALSE,0.04285714286,0,low,-
Cli7,FALSE,0.009900990099,0.009900990099,low,"HashSet -> LinkedHashet, thus imports must be matched"
Cli8,FALSE,0.001044932079,0.001044932079,low,
Cli9,FALSE,0.00464037123,0.002325581395,low,
Closure1,FALSE,0.003006012024,0,low,
Closure10,FALSE,0.0003096934035,0.0003096934035,low,
Closure100,FALSE,0.04371584699,0.005681818182,low,
Closure101,FALSE,0.002070393375,0.00618556701,low,
Closure102,FALSE,0.001890359168,0.001890359168,low,
Closure103,FALSE,0.004026170106,0,low,
Closure104,FALSE,0.002008032129,0.002008032129,low,
Closure105,FALSE,0.003456790123,0.002471576866,low,
Closure106,FALSE,0.002179836512,0.001091107474,low,
Closure107,FALSE,0.001,0,low,
Closure108,FALSE,0.00651465798,0.001636661211,low,
Closure109,FALSE,0.001935733643,0.0003877471888,low,
Closure11,FALSE,0,0.001040041602,low,
Closure110,FALSE,0.008180628272,0.001317957166,low,
Closure111,FALSE,0.007490636704,0.003759398496,low,
Closure112,FALSE,0.004962779156,0.001245330012,low,
Closure113,FALSE,0.0008110300081,0.0008110300081,low,
Closure114,FALSE,0.0005299417064,0.0005299417064,low,
Closure115,FALSE,0,0.0116156283,low,
Closure116,FALSE,0.01263157895,0,low,
Closure117,FALSE,0.01413427562,0.01413427562,low,
Closure118,FALSE,0.00264084507,0,low,
Closure119,FALSE,0.0007352941176,0,low,
Closure12,FALSE,0.01986754967,0,low,
Closure120,FALSE,0.004126547455,0,low,
Closure121,FALSE,0.004081632653,0.00136425648,low,
Closure122,FALSE,0.00131061599,0.0006557377049,low,
Closure123,FALSE,0.0007656967841,0.0007656967841,low,
Closure124,FALSE,0.008130081301,0,low,
Closure125,FALSE,0.0004719207173,0.0004719207173,low,
Closure126,FALSE,0,0.01282051282,low,
Closure127,FALSE,0.03861003861,0.004,low,
Closure128,FALSE,0.003100775194,0.000777000777,low,
Closure129,FALSE,0.01363636364,0,low,
Closure13,FALSE,0.004739336493,0.004739336493,low,
Closure130,FALSE,0.001031991744,0.001031991744,low,
Closure131,FALSE,0.009615384615,0.004830917874,low,
Closure132,FALSE,0.001737116387,0.0005797101449,low,
Closure133,FALSE,0.0004076640848,0,low,
Closure134,FALSE,0.008673469388,0.005120327701,medium,
Closure135,FALSE,0.006535947712,0,low,
Closure136,FALSE,0.01208053691,0.02774108322,medium,
Closure137,FALSE,0.02346041056,0.0144689247,medium,????
Closure138,TRUE,0.006775067751,0.002721088435,medium,????
Closure139,FALSE,0.05055292259,0.001661129568,low,
Closure14,FALSE,0.0009451795841,0.0009451795841,low,
Closure140,FALSE,0.005300353357,0.003539823009,low,
Closure141,FALSE,0.009252405625,0.001119402985,medium,????
Closure142,FALSE,0.002408671216,0,low,
Closure143,FALSE,0.002871500359,0.001437814522,low,
Closure144,FALSE,0.01398828887,0.001317957166,low,src_com_google_javascript_jscomp_FunctionTypeBuilder.java:      move action for typeRegistry.getNativeType(UNKNOWN_TYPE) can not be justified. Also the argument is different
Closure145,FALSE,0.01224105461,0,low,
Closure146,FALSE,0.002125398512,0.001063829787,low,
Closure147,FALSE,0.01178451178,0.001700680272,low,
Closure148,FALSE,0.08282716731,0.04430379747,high,????
Closure149,FALSE,0.003461616779,0.001631986944,low,?????
Closure15,FALSE,0.005988023952,0,low,
Closure150,FALSE,0.0006666666667,0.009907529723,low,There is no reason behind matching the statement containing super invoctation with the attachLiterals method invocation in 1451.
Closure151,FALSE,0.02134646962,0,low,
Closure152,FALSE,0.004268943436,0.001070663812,low,
Closure154,FALSE,0.01005025126,0.007364341085,medium,
Closure155,TRUE,0.03737319808,0.002213613724,low,
Closure156,FALSE,0.02521929825,0.01222222222,low,
Closure157,TRUE,0.02095111407,0.005069280162,medium,????
Closure158,TRUE,0.02905850446,0.011829653,medium,????
Closure159,TRUE,0.002727272727,0.003633060854,medium,
Closure16,FALSE,0.01859504132,0.006276150628,low,
Closure160,FALSE,0.001991040319,0.001991040319,medium,?????
Closure161,FALSE,0.002159827214,0,low,
Closure164,FALSE,0.05841924399,0,low,
Closure165,FALSE,0.01041292639,0.0007251631617,low,
Closure166,FALSE,0.01006711409,0,low,
Closure167,FALSE,0.008108108108,0.007571660357,low,"(debatable) 434->432 code looks different, the return statement is not doing the same thing as before. Its better not to map"
Closure168,FALSE,0.000487804878,0.000487804878,low,
Closure169,FALSE,0.009285530049,0.009285530049,low,(debatable) JSType.java its better to match 528 with 528 due to the fact that else-if is removed.
Closure17,FALSE,0.002467917078,0.0004945598417,low,
Closure170,FALSE,0.02536231884,0.005545286506,medium,
Closure171,FALSE,0.001068661501,0.001602136182,low,
Closure172,FALSE,0.002764976959,0,low,
Closure173,FALSE,0.01472828847,0.003083247688,low,
Closure175,FALSE,0.02051835853,0.02051835853,medium,
Closure18,FALSE,0.0004011231448,0.0004011231448,low,
Closure19,FALSE,0.002820874471,0,low,
Closure2,FALSE,0.001991040319,0,low,
Closure20,FALSE,0.001161440186,0.0005810575247,low,
Closure21,FALSE,0.01020408163,0.08920187793,low,
Closure22,FALSE,0.01020408163,0.1181818182,low,
Closure23,FALSE,0.004539559014,0.0006510416667,low,
Closure24,FALSE,0.009685230024,0.007281553398,medium,
Closure25,FALSE,0.001430615165,0.002857142857,low,
Closure26,FALSE,0.01779359431,0,low,
Closure27,FALSE,0.01025641026,0.005154639175,low,
Closure28,FALSE,0.03738317757,0,low,
Closure29,FALSE,0.02145922747,0,low,
Closure3,FALSE,0.01484230056,0.003752345216,low,
Closure30,FALSE,0.01066098081,0.002150537634,low,
Closure31,FALSE,0,0.0004110152076,low,
Closure32,FALSE,0.006350550381,0.001276595745,low,
Closure33,FALSE,0.005136986301,0,low,
Closure34,FALSE,0.001539250898,0.002562788314,low,"(debatable) the move of 123->752 looks right. But introducing the mapping for 122 -> 747, and 124 -> 753 cause more confusions."
