Chart/17,Change Variable Type	clone : Object to clone : TimeSeries in method public clone() : Object from class org.jfree.data.time.TimeSeries,CHANGE_VARIABLE_TYPE,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Chart/22,Extract Variable	index : int in method public getObject(rowKey Comparable  columnKey Comparable) : Object from class org.jfree.data.KeyedObjects2D,EXTRACT_VARIABLE,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0
Chart/22,Extract Variable	i : int in method public removeColumn(columnKey Comparable) : void from class org.jfree.data.KeyedObjects2D,EXTRACT_VARIABLE,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0
Chart/25,Extract Variable	n : Number in method protected drawHorizontalItem(g2 Graphics2D  state CategoryItemRendererState  dataArea Rectangle2D  plot CategoryPlot  domainAxis CategoryAxis  rangeAxis ValueAxis  dataset StatisticalCategoryDataset  row int  column int) : void from class org.jfree.chart.renderer.category.StatisticalBarRenderer,EXTRACT_VARIABLE,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0
Chart/25,Extract Variable	n : Number in method protected drawVerticalItem(g2 Graphics2D  state CategoryItemRendererState  dataArea Rectangle2D  plot CategoryPlot  domainAxis CategoryAxis  rangeAxis ValueAxis  dataset StatisticalCategoryDataset  row int  column int) : void from class org.jfree.chart.renderer.category.StatisticalBarRenderer,EXTRACT_VARIABLE,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0
Chart/5,Split Conditional	if(index >= 0 && !this.allowDuplicateXValues) to [if(this.allowDuplicateXValues)  if(index >= 0)] in method public addOrUpdate(x Number  y Number) : XYDataItem from class org.jfree.data.xy.XYSeries,SPLIT_CONDITIONAL,0,0,28,28,1,5,1,1,0,0,33,33,0,0,1,1,0,0
Cli/1,Extract Method	private resolveOption(opt String) : Option extracted from public getOptionValues(opt String) : String[] in class org.apache.commons.cli.CommandLine,EXTRACT_OPERATION,0,0,8,8,0,7,1,1,0,0,15,15,0,0,1,1,0,0
Cli/1,Change Variable Type	key : String to key : Option in method public getOptionValues(opt String) : String[] from class org.apache.commons.cli.CommandLine,CHANGE_VARIABLE_TYPE,0,0,1,1,0,5,0,0,0,0,6,6,0,0,0,0,0,0
Cli/18,Inline Method	private processSingleHyphen(hyphen String) : void inlined to protected flatten(options Options  arguments String[]  stopAtNonOption boolean) : String[] in class org.apache.commons.cli.PosixParser,INLINE_OPERATION,0,0,36,36,1,6,1,1,0,0,42,42,0,0,1,1,0,0
Cli/20,Extract Variable	pos : int in method protected flatten(options Options  arguments String[]  stopAtNonOption boolean) : String[] from class org.apache.commons.cli.PosixParser,EXTRACT_VARIABLE,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0
Cli/22,Replace Variable With Attribute	currentOption : Option to currentOption : Option in method protected burstToken(token String  stopAtNonOption boolean) : void from class org.apache.commons.cli.PosixParser,REPLACE_VARIABLE_WITH_ATTRIBUTE,0,0,5,5,0,1,0,0,0,0,6,6,0,0,0,0,0,0
Cli/22,Add Parameter	stopAtNonOption : boolean in method private processNonOptionToken(value String  stopAtNonOption boolean) : void from class org.apache.commons.cli.PosixParser,ADD_PARAMETER,0,0,7,7,0,3,1,1,0,0,8,8,0,2,1,1,0,0
Closure/134,Extract Variable	typeInt : int in method private addNonUnionType(newType JSType) : void from class com.google.javascript.jscomp.AmbiguateProperties.Property,EXTRACT_VARIABLE,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0
Closure/137,Rename Variable	oldName : String to name : String in method public visit(t NodeTraversal  node Node  parent Node) : void from class com.google.javascript.jscomp.MakeDeclaredNamesUnique.ContextualRenameInverter,RENAME_VARIABLE,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
