"URL","Mappings.Size= 1","Mappings.Size= 2","Mappings.Size= 3","Mappings.Size= 4","Mappings.Size= 5","Mappings.Size= 6","Mappings.Size= 7","Mappings.Size= 8","Mappings.Size= 9","Mappings.Size= 10","Mappings.Size= 11","Mappings.Size= 12","Mappings.Size= 13","Mappings.Size= 14","Mappings.Size= 15","Mappings.Size= 16","Mappings.Size= 17","Mappings.Size= 18","Mappings.Size= 19","Mappings.Size= 20","Mappings.Size= 21","Mappings.Size= 22","Mappings.Size= 23","Mappings.Size= 24","Mappings.Size= 25","Mappings.Size= 26","Mappings.Size= 27","Mappings.Size= 28","Mappings.Size= 29","Mappings.Size= 30","Mappings.Size= 31","Mappings.Size= 32","Mappings.Size= 33","Mappings.Size= 34","Mappings.Size= 35","Mappings.Size= 36","Mappings.Size= 37","Mappings.Size= 38","Mappings.Size= 39","Mappings.Size= 40","Mappings.Size= 41","Mappings.Size= 42","Mappings.Size= 43","Mappings.Size= 44","Mappings.Size= 45","Mappings.Size= 46","Mappings.Size= 47","Mappings.Size= 48","Mappings.Size= 49","Mappings.Size= 50","Mappings.Size= 51","Mappings.Size= 52","Mappings.Size= 53","Mappings.Size= 54","Mappings.Size= 55","Mappings.Size= 56","Mappings.Size= 57","Mappings.Size= 58","Mappings.Size= 59","Mappings.Size= 60","Mappings.Size= 61","Mappings.Size= 62","Mappings.Size= 63","Mappings.Size= 64","Mappings.Size= 65","Mappings.Size= 66","Mappings.Size= 67","Mappings.Size= 68","Mappings.Size= 69","Mappings.Size= 70","Mappings.Size= 71","Mappings.Size= 72","Mappings.Size= 73","Mappings.Size= 74","Mappings.Size= 75"
"https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","165","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/Activiti/Activiti/commit/ca7d0c3b33a0863bed04c77932b9ef6b1317f34e","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
