Chart/1,source_org_jfree_chart_renderer_category_AbstractCategoryItemRenderer,1020,80,1064,44,0,0,82,2,0,0,1063,43,0,1,82,2,0,0
Chart/10,source_org_jfree_chart_imagemap_StandardToolTipTagFragmentGenerator,4,1,15,11,0,0,3,2,0,0,13,9,0,2,3,2,0,0
Chart/11,source_org_jfree_chart_util_ShapeUtilities,337,21,379,42,0,0,23,2,0,0,375,38,0,4,23,2,0,0
Chart/12,source_org_jfree_chart_plot_MultiplePiePlot,302,28,326,24,0,0,30,2,0,0,325,23,0,1,30,2,0,0
Chart/13,source_org_jfree_chart_block_BorderArrangement,284,15,345,61,0,0,17,2,0,0,341,57,0,4,17,2,0,0
Chart/14,source_org_jfree_chart_plot_CategoryPlot,2226,217,2277,51,0,0,220,3,0,0,2269,43,0,8,220,3,0,0
Chart/14,source_org_jfree_chart_plot_XYPlot,2779,252,2830,51,0,0,255,3,0,0,2822,43,0,8,255,3,0,0
Chart/15,source_org_jfree_chart_plot_PiePlot,1443,170,1477,34,0,0,173,3,0,0,1471,28,0,6,173,3,0,0
Chart/16,source_org_jfree_data_category_DefaultIntervalCategoryDataset,343,34,412,69,0,0,37,3,0,0,403,60,0,9,37,3,0,0
Chart/17,source_org_jfree_data_time_TimeSeries,543,52,557,14,0,0,54,2,0,0,553,10,0,4,54,2,0,0
Chart/18,source_org_jfree_data_DefaultKeyedValues,224,24,248,24,0,0,27,3,0,0,245,21,0,3,27,3,0,0
Chart/18,source_org_jfree_data_DefaultKeyedValues2D,270,27,288,18,0,0,29,2,0,0,287,17,0,1,29,2,0,0
Chart/19,source_org_jfree_chart_plot_CategoryPlot,2099,203,2129,30,0,0,206,3,0,0,2127,28,0,2,206,3,0,0
Chart/2,source_org_jfree_data_general_DatasetUtilities,1308,50,1418,110,0,0,53,3,0,0,1409,101,2,9,53,3,0,0
Chart/20,source_org_jfree_chart_plot_ValueMarker,44,6,61,17,0,0,8,2,0,0,52,8,0,9,8,2,0,0
