Chart/commit/1,source_org_jfree_chart_renderer_category_AbstractCategoryItemRenderer,1020,80,1064,44,0,0,82,2,0,0,1060,40,0,4,82,2,0,0,1064,44,0,0,82,2,0,0
Chart/commit/10,source_org_jfree_chart_imagemap_StandardToolTipTagFragmentGenerator,4,1,15,11,0,0,3,2,0,0,15,11,0,0,3,2,0,0,14,10,0,1,3,2,0,0
Chart/commit/11,source_org_jfree_chart_util_ShapeUtilities,337,21,379,42,0,0,23,2,0,0,376,39,0,3,23,2,0,0,379,42,0,0,23,2,0,0
Chart/commit/12,source_org_jfree_chart_plot_MultiplePiePlot,302,28,326,24,0,0,30,2,0,0,323,21,1,3,30,2,0,0,324,22,0,2,30,2,0,0
Chart/commit/13,source_org_jfree_chart_block_BorderArrangement,284,15,345,61,0,0,17,2,0,0,342,58,0,3,17,2,0,0,345,61,0,0,17,2,0,0
Chart/commit/14,source_org_jfree_chart_plot_CategoryPlot,2226,217,2277,51,0,0,220,3,0,0,2274,48,0,3,220,3,0,0,2277,51,0,0,220,3,0,0
Chart/commit/14,source_org_jfree_chart_plot_XYPlot,2779,252,2830,51,0,0,255,3,0,0,2827,48,0,3,255,3,0,0,2830,51,0,0,255,3,0,0
Chart/commit/15,source_org_jfree_chart_plot_PiePlot,1443,170,1477,34,0,0,173,3,0,0,1474,31,0,3,173,3,0,0,1477,34,0,0,173,3,0,0
Chart/commit/16,source_org_jfree_data_category_DefaultIntervalCategoryDataset,343,34,412,69,0,0,37,3,0,0,409,66,1,3,37,3,0,0,412,69,0,0,37,3,0,0
Chart/commit/17,source_org_jfree_data_time_TimeSeries,543,52,557,14,0,0,54,2,0,0,549,6,0,8,53,1,0,1,557,14,0,0,54,2,0,0
Chart/commit/18,source_org_jfree_data_DefaultKeyedValues2D,270,27,288,18,0,0,29,2,0,0,285,15,0,3,29,2,0,0,288,18,0,0,29,2,0,0
Chart/commit/18,source_org_jfree_data_DefaultKeyedValues,224,24,248,24,0,0,27,3,0,0,245,21,0,3,27,3,0,0,248,24,0,0,27,3,0,0
Chart/commit/19,source_org_jfree_chart_plot_CategoryPlot,2099,203,2129,30,0,0,206,3,0,0,2126,27,0,3,206,3,0,0,2129,30,0,0,206,3,0,0
Chart/commit/2,source_org_jfree_data_general_DatasetUtilities,1308,50,1418,110,0,0,53,3,0,0,1414,106,0,4,53,3,0,0,1418,110,0,0,53,3,0,0
Chart/commit/20,source_org_jfree_chart_plot_ValueMarker,44,6,61,17,0,0,8,2,0,0,61,17,0,0,8,2,0,0,61,17,0,0,8,2,0,0
Chart/commit/21,source_org_jfree_data_statistics_DefaultBoxAndWhiskerCategoryDataset,340,44,396,56,0,0,47,3,0,0,388,48,1,8,46,2,0,1,392,52,0,4,46,2,0,1
Chart/commit/22,source_org_jfree_data_KeyedObjects2D,183,21,259,76,0,0,26,5,0,0,251,68,2,8,26,5,0,0,255,72,3,4,26,5,0,0
Chart/commit/23,source_org_jfree_chart_renderer_category_MinMaxCategoryRenderer,272,34,276,4,0,0,35,1,0,0,273,1,0,3,35,1,0,0,276,4,0,0,35,1,0,0
Chart/commit/24,source_org_jfree_chart_renderer_GrayPaintScale,49,8,65,16,0,0,10,2,0,0,65,16,0,0,10,2,0,0,65,16,0,0,10,2,0,0
Chart/commit/25,source_org_jfree_chart_renderer_category_StatisticalBarRenderer,93,12,297,204,0,0,15,3,0,0,288,195,10,9,15,3,0,0,291,198,8,6,15,3,0,0
Chart/commit/26,source_org_jfree_chart_axis_Axis,567,98,653,86,0,0,100,2,0,0,649,82,0,4,100,2,0,0,653,86,0,0,100,2,0,0
Chart/commit/3,source_org_jfree_data_time_TimeSeries,687,64,720,33,0,0,66,2,0,0,717,30,0,3,66,2,0,0,720,33,0,0,66,2,0,0
Chart/commit/4,source_org_jfree_chart_plot_XYPlot,3198,290,3287,89,0,0,292,2,0,0,3284,86,0,3,292,2,0,0,3287,89,0,0,292,2,0,0
Chart/commit/5,source_org_jfree_data_xy_XYSeries,346,38,385,39,0,0,40,2,0,0,382,36,0,3,40,2,0,0,385,39,0,0,40,2,0,0
Chart/commit/6,source_org_jfree_chart_util_ShapeList,61,7,77,16,0,0,9,2,0,0,76,15,2,1,9,2,0,0,77,16,0,0,9,2,0,0
